"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote"
"CVI","CVR Energy Inc.","29.83","$2.59B","2007","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/cvi"
"UAN","CVR Partners, LP","6.1","$446.05M","2011","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/uan"
"CVRR","CVR Refining, LP","14.21","$2.1B","2013","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/cvrr"
"CVS","CVS Health Corporation","93.1","$103.09B","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/cvs"
"CELP","Cypress Energy Partners, L.P.","10.53","$124.61M","2014","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/celp"
"CYS","CYS Investments, Inc.","7.11","$1.1B","2009","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cys"
"CYS^A","CYS Investments, Inc.","22.98","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cys^a"
"CYS^B","CYS Investments, Inc.","22.73","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cys^b"
"DHI","D.R. Horton, Inc.","24.44","$9.01B","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/dhi"
"CB","D/B/A Chubb Limited New","112.25","$25.49B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/cb"
"DAN","Dana Holding Corporation","11.68","$1.79B","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/dan"
"DHR","Danaher Corporation","85.04","$58.28B","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dhr"
"DAC","Danaos Corporation","5.3","$581.84M","2006","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dac"
"DQ","DAQO New Energy Corp.","16.27","$145.5M","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/dq"
"DRI","Darden Restaurants, Inc.","58.99","$7.56B","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/dri"
"DAR","Darling Ingredients Inc.","8.61","$1.42B","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/dar"
"DVA","DaVita healthCare Partners Inc.","63.9","$13.48B","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/dva"
"DPM","DCP Midstream Partners, LP","19.49","$2.24B","2005","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/dpm"
"DCT","DCT Industrial Trust Inc","35.87","$3.17B","2006","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/dct"
"DDR","DDR Corp.","16.83","$6.09B","1993","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ddr"
"DDR^J","DDR Corp.","25.44","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ddr^j"
"DDR^K","DDR Corp.","25.5","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ddr^k"
"DF","Dean Foods Company","19.3","$1.76B","n/a","Consumer Non-Durables","Specialty Foods","http://www.nasdaq.com/symbol/df"
